purpose_id,sensor_sn,columns,units,Actual colume labels:
21,9790157,Temperature,F,"Temp, oF"
66,9790157,Humidity,%,"RH, %"
111,9790157,Light Intensity,lum/ft2,"Intensity, lum/ft2"
22,9790158,Temperature,F,
67,9790158,Humidity,%,
112,9790158,Light Intensity,lum/ft2,
25,9790159,Temperature,F,
70,9790159,Humidity,%,
115,9790159,Light Intensity,lum/ft2,
26,9790160,Temperature,F,
71,9790160,Humidity,%,
116,9790160,Light Intensity,lum/ft2,
28,9790166,Temperature,F,
73,9790166,Humidity,%,
118,9790166,Light Intensity,lum/ft2,
36,9790167,Temperature,F,
81,9790167,Humidity,%,
126,9790167,Light Intensity,lum/ft2,
24,9790168,Temperature,F,
69,9790168,Humidity,%,
114,9790168,Light Intensity,lum/ft2,
23,9790169,Temperature,F,
68,9790169,Humidity,%,
113,9790169,Light Intensity,lum/ft2,
30,9790170,Temperature,F,
75,9790170,Humidity,%,
120,9790170,Light Intensity,lum/ft2,
45,9790171,Temperature,F,
90,9790171,Humidity,%,
135,9790171,Light Intensity,lum/ft2,
42,9790174,Temperature,F,
87,9790174,Humidity,%,
132,9790174,Light Intensity,lum/ft2,
33,9790175,Temperature,F,
78,9790175,Humidity,%,
123,9790175,Light Intensity,lum/ft2,
31,9790176,Temperature,F,
76,9790176,Humidity,%,
121,9790176,Light Intensity,lum/ft2,
32,9790177,Temperature,F,
77,9790177,Humidity,%,
122,9790177,Light Intensity,lum/ft2,
39,9790178,Temperature,F,
84,9790178,Humidity,%,
129,9790178,Light Intensity,lum/ft2,
38,9790179,Temperature,F,
83,9790179,Humidity,%,
128,9790179,Light Intensity,lum/ft2,
1,9796062,Temperature,F,
46,9796062,Humidity,%,
91,9796062,Light Intensity,lum/ft2,
2,9796064,Temperature,F,
47,9796064,Humidity,%,
92,9796064,Light Intensity,lum/ft2,
3,9796067,Temperature,F,
48,9796067,Humidity,%,
93,9796067,Light Intensity,lum/ft2,
40,9796069,Temperature,F,
85,9796069,Humidity,%,
130,9796069,Light Intensity,lum/ft2,
5,9796070,Temperature,F,
50,9796070,Humidity,%,
95,9796070,Light Intensity,lum/ft2,
44,9796073,Temperature,F,
89,9796073,Humidity,%,
134,9796073,Light Intensity,lum/ft2,
4,9796074,Temperature,F,
49,9796074,Humidity,%,
94,9796074,Light Intensity,lum/ft2,
6,9796076,Temperature,F,
51,9796076,Humidity,%,
96,9796076,Light Intensity,lum/ft2,
10,9796077,Temperature,F,
55,9796077,Humidity,%,
100,9796077,Light Intensity,lum/ft2,
7,9796087,Temperature,F,
52,9796087,Humidity,%,
97,9796087,Light Intensity,lum/ft2,
8,9796089,Temperature,F,
53,9796089,Humidity,%,
98,9796089,Light Intensity,lum/ft2,
9,9796090,Temperature,F,
54,9796090,Humidity,%,
99,9796090,Light Intensity,lum/ft2,
14,9796092,Temperature,F,
59,9796092,Humidity,%,
104,9796092,Light Intensity,lum/ft2,
11,9796093,Temperature,F,
56,9796093,Humidity,%,
101,9796093,Light Intensity,lum/ft2,
13,9796094,Temperature,F,
58,9796094,Humidity,%,
103,9796094,Light Intensity,lum/ft2,
12,9796095,Temperature,F,
57,9796095,Humidity,%,
102,9796095,Light Intensity,lum/ft2,
15,9796096,Temperature,F,
60,9796096,Humidity,%,
105,9796096,Light Intensity,lum/ft2,
16,9796099,Temperature,F,
61,9796099,Humidity,%,
106,9796099,Light Intensity,lum/ft2,
17,9796100,Temperature,F,
62,9796100,Humidity,%,
107,9796100,Light Intensity,lum/ft2,
20,9796104,Temperature,F,
65,9796104,Humidity,%,
110,9796104,Light Intensity,lum/ft2,
19,9796108,Temperature,F,
64,9796108,Humidity,%,
109,9796108,Light Intensity,lum/ft2,
29,9796109,Temperature,F,
74,9796109,Humidity,%,
119,9796109,Light Intensity,lum/ft2,
18,9796111,Temperature,F,
63,9796111,Humidity,%,
108,9796111,Light Intensity,lum/ft2,
35,9796112,Temperature,F,
80,9796112,Humidity,%,
125,9796112,Light Intensity,lum/ft2,
34,9796118,Temperature,F,
79,9796118,Humidity,%,
124,9796118,Light Intensity,lum/ft2,
37,9796119,Temperature,F,
82,9796119,Humidity,%,
127,9796119,Light Intensity,lum/ft2,
27,9796120,Temperature,F,
72,9796120,Humidity,%,
117,9796120,Light Intensity,lum/ft2,
41,10688122,Temperature,F,
86,10688122,Humidity,%,
131,10688122,Light Intensity,lum/ft2,
43,10688124,Temperature,F,
88,10688124,Humidity,%,
133,10688124,Light Intensity,lum/ft2,
